draw,start_opt,land_opt,dist,best_f,evals
1925,3,0,2.830072152285252,222.6404908007249,1500
1926,5,5,0.00017836986675548021,6.285346083140473e-06,1500
1927,4,5,0.0012523105297645,0.00029501782734716453,1500
1928,4,4,0.00020874945077588801,1.0811406341374833e-05,1500
1929,4,4,0.00017417762884762862,7.558352301446773e-06,1500
1930,3,5,0.0019014597587324572,0.0007026569919931895,1500
1931,0,1,0.00037359797444174277,4.395588848563906e-05,1500
1932,3,5,0.0003306678600397037,2.0564818737034975e-05,1500
1933,5,5,0.00020947898974600112,8.297798676546027e-06,1500
1934,2,5,0.0021884230017028784,0.0009573843017908805,1500
1936,3,4,0.0018198928686137367,0.0009205249242436517,1500
1935,4,5,0.010452018226844093,0.02068576534222891,1500
1937,3,5,0.0024074476427722847,0.001084087149644885,1500
1938,3,5,0.001085705146180266,0.00022385641220701739,1500
1939,3,5,0.0003337284650116266,2.130416077211309e-05,1500
1940,4,5,0.0007857394453033929,0.00011973249279887423,1500
1941,1,1,0.0004398190070407437,6.089012033805855e-05,1500
1942,4,4,0.00020455026192018174,1.1265369978831122e-05,1500
1943,5,5,0.0005711736913930964,6.19104860512143e-05,1500
1945,2,5,0.000865278029134245,0.00013874128197922584,1500
1944,3,5,0.0010997941985363732,0.00022582857435289377,1500
1946,4,5,0.0009818710672800143,0.00018042320894330748,1500
1947,2,1,0.0002533555950082198,2.0200167851505566e-05,1500
1948,5,5,0.0005963315330995969,6.786172312381493e-05,1500
1949,5,5,0.0007400622245115329,0.00010598107088656424,1500
1950,0,0,0.0003328867953120187,3.745728009402545e-05,1500
1951,0,5,0.004010385492718605,0.0033689539597138054,1500
1952,1,5,0.001713296844619699,0.0005578898989439368,1500
1953,3,0,0.00017753424277642868,1.0648467038583558e-05,1500
1954,0,0,0.0006689912077518285,0.00015109601505694032,1500
1956,5,5,0.0001418346085463985,3.6921343443278914e-06,1500
1955,1,5,0.0006944921564564535,9.06251072557423e-05,1500
1957,2,5,0.0018628288954074324,0.0006553671550506582,1500
1958,1,1,0.0008351533544402705,0.00021942237949129428,1500
1960,3,5,0.0007689869565767947,0.00011377218499062222,1500
1959,4,5,0.0010221717100036326,0.00019984799433276864,1500
1961,4,5,0.0008533576725915702,0.0001353057686643468,1500
1962,3,5,0.0005728542795798822,6.191639140868135e-05,1500
1963,3,5,0.0004852429326765896,4.4090259014326886e-05,1500
